;ACCIMT Observatory;	ACCIMT Observatory
;Kodaikanal Solar Observatory;	Kodaikanal Solar Observatory
;Paranal Observatory (VLT);	Paranal Observatory (VLT)
;TIRGO Observatory;	TIRGO Observatory
000;Greenwich;	Greenwich [code 000]
001;Crowborough;	Crowborough [code 001]
002;Rayleigh;	Rayleigh [code 002]
003;Montpellier;	Montpellier [code 003]
004;Toulouse;	Toulouse [code 004]
005;Meudon;	Meudon [code 005]
006;Fabra Observatory, Barcelona;	Fabra Observatory, Barcelona [code 006]
007;Paris;	Paris [code 007]
008;Algiers-Bouzareah;	Algiers-Bouzareah [code 008]
009;Berne-Uecht;	Berne-Uecht [code 009]
010;Caussols;	Caussols [code 010]
011;Wetzikon;	Wetzikon [code 011]
012;Uccle;	Uccle [code 012]
013;Leiden;	Leiden [code 013]
014;Marseilles;	Marseilles [code 014]
015;Utrecht;	Utrecht [code 015]
016;Besancon;	Besancon [code 016]
017;Hoher List;	Hoher List [code 017]
018;Dusseldorf-Bilk;	Dusseldorf-Bilk [code 018]
019;Neuchatel;	Neuchatel [code 019]
020;Nice;	Nice [code 020]
021;Karlsruhe;	Karlsruhe [code 021]
022;Pino Torinese;	Pino Torinese [code 022]
023;Wiesbaden;	Wiesbaden [code 023]
024;Heidelberg-Konigstuhl;	Heidelberg-Konigstuhl [code 024]
025;Stuttgart;	Stuttgart [code 025]
026;Berne-Zimmerwald;	Berne-Zimmerwald [code 026]
027;Milan;	Milan [code 027]
028;Wurzburg;	Wurzburg [code 028]
029;Hamburg-Bergedorf;	Hamburg-Bergedorf [code 029]
030;Arcetri Observatory, Florence;	Arcetri Observatory, Florence [code 030]
031;Sonneberg;	Sonneberg [code 031]
032;Jena;	Jena [code 032]
033;Karl Schwarzschild Observatory, Tautenburg;	Karl Schwarzschild Observatory, Tautenburg [code 033]
034;Monte Mario Observatory, Rome;	Monte Mario Observatory, Rome [code 034]
035;Copenhagen;	Copenhagen [code 035]
036;Castel Gandolfo;	Castel Gandolfo [code 036]
037;Collurania Observatory, Teramo;	Collurania Observatory, Teramo [code 037]
038;Trieste;	Trieste [code 038]
039;Lund;	Lund [code 039]
040;Lohrmann Institute, Dresden;	Lohrmann Institute, Dresden [code 040]
041;Innsbruck;	Innsbruck [code 041]
042;Potsdam;	Potsdam [code 042]
043;Asiago Astrophysical Observatory, Padua;	Asiago Astrophysical Observatory, Padua [code 043]
044;Capodimonte Observatory, Naples;	Capodimonte Observatory, Naples [code 044]
045;Vienna (since 1879);	Vienna (since 1879) [code 045]
046;Klet Observatory, Ceske Budejovice;	Klet Observatory, Ceske Budejovice [code 046]
047;Poznan;	Poznan [code 047]
048;Hradec Kralove;	Hradec Kralove [code 048]
049;Uppsala-Kvistaberg;	Uppsala-Kvistaberg [code 049]
050;Stockholm (before 1931);	Stockholm (before 1931) [code 050]
051;Cape;	Cape [code 051]
052;Stockholm-Saltsjobaden;	Stockholm-Saltsjobaden [code 052]
053;Konkoly Observatory, Budapest (since 1934);	Konkoly Observatory, Budapest (since 1934) [code 053]
054;Brorfelde;	Brorfelde [code 054]
055;Cracow;	Cracow [code 055]
056;Skalnate Pleso;	Skalnate Pleso [code 056]
057;Belgrade;	Belgrade [code 057]
058;Kaliningrad;	Kaliningrad [code 058]
059;Lomnicky Stit;	Lomnicky Stit [code 059]
060;Warsaw-Ostrowik;	Warsaw-Ostrowik [code 060]
061;Uzhgorod;	Uzhgorod [code 061]
062;Turku;	Turku [code 062]
063;Turku-Tuorla;	Turku-Tuorla [code 063]
064;Turku-Kevola;	Turku-Kevola [code 064]
065;Traunstein;	Traunstein [code 065]
066;Athens;	Athens [code 066]
067;Lvov University Observatory;	Lvov University Observatory [code 067]
068;Lvov Polytechnic Institute;	Lvov Polytechnic Institute [code 068]
069;Baldone;	Baldone [code 069]
070;Vilnius (before 1939);	Vilnius (before 1939) [code 070]
071;NAO Rozhen, Smolyan;	NAO Rozhen, Smolyan [code 071]
072;Scheuren Observatory;	Scheuren Observatory [code 072]
073;Bucharest;	Bucharest [code 073]
074;Boyden Observatory, Bloemfontein;	Boyden Observatory, Bloemfontein [code 074]
075;Tartu;	Tartu [code 075]
076;Johannesburg-Hartbeespoort;	Johannesburg-Hartbeespoort [code 076]
077;Yale-Columbia Station, Johannesburg;	Yale-Columbia Station, Johannesburg [code 077]
078;Johannesburg;	Johannesburg [code 078]
079;Radcliffe Observatory, Pretoria;	Radcliffe Observatory, Pretoria [code 079]
080;Istanbul;	Istanbul [code 080]
081;Leiden Station, Johannesburg;	Leiden Station, Johannesburg [code 081]
082;St. Polten;	St. Polten [code 082]
083;Golosseevo-Kiev;	Golosseevo-Kiev [code 083]
084;Pulkovo;	Pulkovo [code 084]
085;Kiev;	Kiev [code 085]
086;Odessa;	Odessa [code 086]
087;Helwan;	Helwan [code 087]
088;Kottomia;	Kottomia [code 088]
089;Nikolaev;	Nikolaev [code 089]
090;Mainz;	Mainz [code 090]
091;Observatoire de Nurol, Aurec sur Loire;	Observatoire de Nurol, Aurec sur Loire [code 091]
092;Torun-Piwnice;	Torun-Piwnice [code 092]
093;Skibotn;	Skibotn [code 093]
094;Crimea-Simeis;	Crimea-Simeis [code 094]
095;Crimea-Nauchnij;	Crimea-Nauchnij [code 095]
096;Merate;	Merate [code 096]
097;Wise Observatory, Mitzpeh Ramon;	Wise Observatory, Mitzpeh Ramon [code 097]
098;Asiago Observatory, Cima Ekar;	Asiago Observatory, Cima Ekar [code 098]
099;Lahti;	Lahti [code 099]
100;Ahtari;	Ahtari [code 100]
101;Kharkov;	Kharkov [code 101]
102;Zvenigorod;	Zvenigorod [code 102]
103;Ljubljana;	Ljubljana [code 103]
104;San Marcello Pistoiese;	San Marcello Pistoiese [code 104]
105;Moscow;	Moscow [code 105]
106;Crni Vrh;	Crni Vrh [code 106]
107;Cavezzo;	Cavezzo [code 107]
108;Montelupo;	Montelupo [code 108]
109;Algiers-Kouba;	Algiers-Kouba [code 109]
110;Rostov;	Rostov [code 110]
111;Piazzano Observatory, Florence;	Piazzano Observatory, Florence [code 111]
112;Pleiade Observatory, Verona;	Pleiade Observatory, Verona [code 112]
113;Volkssternwarte Drebach, Schoenbrunn;	Volkssternwarte Drebach, Schoenbrunn [code 113]
114;Engelhardt Observatory, Zelenchukskaya Station;	Engelhardt Observatory, Zelenchukskaya Station [code 114]
115;Zelenchukskaya;	Zelenchukskaya [code 115]
116;Giesing;	Giesing [code 116]
117;Sendling;	Sendling [code 117]
118;Astronomical and Geophysical Observatory, Modra;	Astronomical and Geophysical Observatory, Modra [code 118]
119;Abastuman;	Abastuman [code 119]
120;Visnjan;	Visnjan [code 120]
121;Kharkov University, Chuguevskaya Station;	Kharkov University, Chuguevskaya Station [code 121]
122;Pises Observatory;	Pises Observatory [code 122]
123;Byurakan;	Byurakan [code 123]
124;Castres;	Castres [code 124]
125;Tbilisi;	Tbilisi [code 125]
126;Monte Viseggi;	Monte Viseggi [code 126]
127;Bornheim;	Bornheim [code 127]
128;Saratov;	Saratov [code 128]
129;Ordubad;	Ordubad [code 129]
130;Lumezzane;	Lumezzane [code 130]
131;Observatoire de l&#39;Ardeche;	Observatoire de l&#39;Ardeche [code 131]
132;Bedoin;	Bedoin [code 132]
133;Les Tardieux;	Les Tardieux [code 133]
134;Groszschwabhausen;	Groszschwabhausen [code 134]
135;Kasan;	Kasan [code 135]
136;Engelhardt Observatory, Kasan;	Engelhardt Observatory, Kasan [code 136]
137;Givatayim Observatory;	Givatayim Observatory [code 137]
138;Village-Neuf;	Village-Neuf [code 138]
139;Antibes;	Antibes [code 139]
140;Augerolles;	Augerolles [code 140]
141;Hottviller;	Hottviller [code 141]
142;Sinsen;	Sinsen [code 142]
143;Gnosca;	Gnosca [code 143]
144;Bray et Lu;	Bray et Lu [code 144]
145;&#39;s-Gravenwezel;	&#39;s-Gravenwezel [code 145]
146;Frignano;	Frignano [code 146]
147;Osservatorio Astronomico di Suno;	Osservatorio Astronomico di Suno [code 147]
148;Guitalens;	Guitalens [code 148]
149;Beine-Nauroy;	Beine-Nauroy [code 149]
150;Maisons Laffitte;	Maisons Laffitte [code 150]
151;Eschenberg Observatory, Winterthur;	Eschenberg Observatory, Winterthur [code 151]
152;Moletai Astronomical Observatory;	Moletai Astronomical Observatory [code 152]
153;Stuttgart-Hoffeld;	Stuttgart-Hoffeld [code 153]
154;Cortina;	Cortina [code 154]
155;Ole Romer Observatory, Aarhus;	Ole Romer Observatory, Aarhus [code 155]
156;Catania Astrophysical Observatory;	Catania Astrophysical Observatory [code 156]
157;Frasso Sabino;	Frasso Sabino [code 157]
158;Promiod;	Promiod [code 158]
159;Monte Agliale;	Monte Agliale [code 159]
160;Castelmartini;	Castelmartini [code 160]
161;Cerrina Tololo Observatory;	Cerrina Tololo Observatory [code 161]
162;Potenza;	Potenza [code 162]
163;Roeser Observatory, Luxembourg;	Roeser Observatory, Luxembourg [code 163]
164;St. Michel sur Meurthe;	St. Michel sur Meurthe [code 164]
165;Piera Observatory, Barcelona;	Piera Observatory, Barcelona [code 165]
166;Upice;	Upice [code 166]
167;Bulach Observatory;	Bulach Observatory [code 167]
168;Kourovskaya;	Kourovskaya [code 168]
169;Airali Observatory;	Airali Observatory [code 169]
170;Observatorio de Begues;	Observatorio de Begues [code 170]
171;Flarestar Observatory, San Gwann;	Flarestar Observatory, San Gwann [code 171]
172;Onnens;	Onnens [code 172]
173;St. Clotilde, Reunion;	St. Clotilde, Reunion [code 173]
174;Nyrola Observatory, Jyvaskyla;	Nyrola Observatory, Jyvaskyla [code 174]
175;F.-X. Bagnoud Observatory, St-Luc;	F.-X. Bagnoud Observatory, St-Luc [code 175]
176;Observatorio Astronomico de Consell;	Observatorio Astronomico de Consell [code 176]
177;Le Cres;	Le Cres [code 177]
178;Collonges;	Collonges [code 178]
179;Monte Generoso;	Monte Generoso [code 179]
180;Mauguio;	Mauguio [code 180]
181;Observatoire des Makes, Saint-Louis;	Observatoire des Makes, Saint-Louis [code 181]
182;St. Paul, Reunion;	St. Paul, Reunion [code 182]
183;Starlab Observatory, Karachay-Cherkessia;	Starlab Observatory, Karachay-Cherkessia [code 183]
184;Valmeca Observatory, Puimichel;	Valmeca Observatory, Puimichel [code 184]
185;Observatoire Astronomique Jurassien-Vicques;	Observatoire Astronomique Jurassien-Vicques [code 185]
186;Kitab;	Kitab [code 186]
187;Astronomical Observatory, Borowiec;	Astronomical Observatory, Borowiec [code 187]
188;Majdanak;	Majdanak [code 188]
189;Geneva (before 1967);	Geneva (before 1967) [code 189]
190;Gissar;	Gissar [code 190]
191;Dushanbe;	Dushanbe [code 191]
192;Tashkent;	Tashkent [code 192]
193;Sanglok;	Sanglok [code 193]
194;Tivoli;	Tivoli [code 194]
195;Untermenzing Observatory, Munich;	Untermenzing Observatory, Munich [code 195]
196;Homburg-Erbach;	Homburg-Erbach [code 196]
197;Bastia;	Bastia [code 197]
198;Wildberg;	Wildberg [code 198]
199;Buthiers;	Buthiers [code 199]
200;Beersel Hills Observatory;	Beersel Hills Observatory [code 200]
201;Jonathan B. Postel Observatory;	Jonathan B. Postel Observatory [code 201]
202;Tamaris Observatoire, La Seyne sur Mer;	Tamaris Observatoire, La Seyne sur Mer [code 202]
203;GiaGa Observatory;	GiaGa Observatory [code 203]
204;Schiaparelli Observatory;	Schiaparelli Observatory [code 204]
205;Obs. Casalecchio di Reno, Bologna;	Obs. Casalecchio di Reno, Bologna [code 205]
206;Haagaar Observatory, Eina;	Haagaar Observatory, Eina [code 206]
207;Osservatorio Antonio Grosso;	Osservatorio Antonio Grosso [code 207]
208;Rivalta;	Rivalta [code 208]
209;Asiago Observatory, Cima Ekar-ADAS;	Asiago Observatory, Cima Ekar-ADAS [code 209]
210;Alma-Ata;	Alma-Ata [code 210]
211;Scandicci;	Scandicci [code 211]
212;Observatorio La Dehesilla;	Observatorio La Dehesilla [code 212]
213;Observatorio Montcabre;	Observatorio Montcabre [code 213]
214;Garching Observatory;	Garching Observatory [code 214]
215;Buchloe;	Buchloe [code 215]
216;Observatoire des Cote de Meuse;	Observatoire des Cote de Meuse [code 216]
217;Assah;	Assah [code 217]
218;Hyderabad;	Hyderabad [code 218]
219;Japal-Rangapur;	Japal-Rangapur [code 219]
220;Vainu Bappu Observatory, Kavalur;	Vainu Bappu Observatory, Kavalur [code 220]
221;IAS Observatory, Hakos;	IAS Observatory, Hakos [code 221]
222;Yerres-Canotiers;	Yerres-Canotiers [code 222]
223;Madras;	Madras [code 223]
224;Ottmarsheim;	Ottmarsheim [code 224]
225;Northwood Ridge Observatory;	Northwood Ridge Observatory [code 225]
226;Guido Ruggieri Observatory, Padua;	Guido Ruggieri Observatory, Padua [code 226]
227;OrbitJet Observatory, Colden;	OrbitJet Observatory, Colden [code 227]
228;Bruno Zugna Observatory, Trieste;	Bruno Zugna Observatory, Trieste [code 228]
229;G. C. Gloriosi Astronomical Observatory, Salerno;	G. C. Gloriosi Astronomical Observatory, Salerno [code 229]
230;Mt. Wendelstein Observatory;	Mt. Wendelstein Observatory [code 230]
231;Vesqueville;	Vesqueville [code 231]
232;Masquefa Observatory;	Masquefa Observatory [code 232]
233;Sauro Donati Astronomical Observatory, San Vito;	Sauro Donati Astronomical Observatory, San Vito [code 233]
234;Coddenham Observatory;	Coddenham Observatory [code 234]
235;CAST Observatory, Talmassons;	CAST Observatory, Talmassons [code 235]
236;Tomsk;	Tomsk [code 236]
237;Baugy;	Baugy [code 237]
238;Grorudalen Optical Observatory;	Grorudalen Optical Observatory [code 238]
239;Trebur;	Trebur [code 239]
240;Herrenberg Sternwarte;	Herrenberg Sternwarte [code 240]
241;Schaerding;	Schaerding [code 241]
242;Varennes;	Varennes [code 242]
243;Umbrella Observatory, Fredenbeck;	Umbrella Observatory, Fredenbeck [code 243]
246;Klet Observatory-KLENOT;	Klet Observatory-KLENOT [code 246]
257;Goldstone DSS 25, Fort Irwin;	Goldstone DSS 25, Fort Irwin [code 257]
259;EISCAT Tromso UHF;	EISCAT Tromso UHF [code 259]
260;Siding Spring Observatory-DSS;	Siding Spring Observatory-DSS [code 260]
261;Palomar Mountain-DSS;	Palomar Mountain-DSS [code 261]
262;European Southern Observatory, La Silla-DSS;	European Southern Observatory, La Silla-DSS [code 262]
266;New Horizons KBO Search-Subaru;	New Horizons KBO Search-Subaru [code 266]
267;New Horizons KBO Search-CFHT;	New Horizons KBO Search-CFHT [code 267]
268;New Horizons KBO Search-Magellan/Clay;	New Horizons KBO Search-Magellan/Clay [code 268]
269;New Horizons KBO Search-Magellan/Baade;	New Horizons KBO Search-Magellan/Baade [code 269]
277;Royal Observatory, Blackford Hill, Edinburgh;	Royal Observatory, Blackford Hill, Edinburgh [code 277]
278;Peking, Transit of Venus site;	Peking, Transit of Venus site [code 278]
279;Seeberg Observatory, Gotha (1787-1857);	Seeberg Observatory, Gotha (1787-1857) [code 279]
280;Lilienthal;	Lilienthal [code 280]
281;Bologna;	Bologna [code 281]
282;Nimes;	Nimes [code 282]
283;Bremen;	Bremen [code 283]
284;Driesen;	Driesen [code 284]
285;Flammarion Observatory, Juvisy;	Flammarion Observatory, Juvisy [code 285]
286;Yunnan Observatory;	Yunnan Observatory [code 286]
290;Mt. Graham-VATT;	Mt. Graham-VATT [code 290]
291;LPL/Spacewatch II;	LPL/Spacewatch II [code 291]
292;Burlington, New Jersey;	Burlington, New Jersey [code 292]
293;Burlington remote site;	Burlington remote site [code 293]
294;Astrophysical Obs., College of Staten Island;	Astrophysical Obs., College of Staten Island [code 294]
295;Catholic University Observatory, Washington;	Catholic University Observatory, Washington [code 295]
296;Dudley Observatory, Albany (after 1893);	Dudley Observatory, Albany (after 1893) [code 296]
297;Middlebury;	Middlebury [code 297]
298;Van Vleck Observatory;	Van Vleck Observatory [code 298]
299;Bosscha Observatory, Lembang;	Bosscha Observatory, Lembang [code 299]
300;Bisei Spaceguard Center-BATTeRS;	Bisei Spaceguard Center-BATTeRS [code 300]
301;Mont Megantic;	Mont Megantic [code 301]
302;University of the Andes station;	University of the Andes station [code 302]
303;OAN de Llano del Hato, Merida;	OAN de Llano del Hato, Merida [code 303]
304;Las Campanas Observatory;	Las Campanas Observatory [code 304]
305;Purple Mountain, Hainan Island station;	Purple Mountain, Hainan Island station [code 305]
306;Observatorio Taya Beixo, Barquisimeto;	Observatorio Taya Beixo, Barquisimeto [code 306]
307;Shattuck Observatory, Hanover;	Shattuck Observatory, Hanover [code 307]
309;Cerro Paranal;	Cerro Paranal [code 309]
312;Tsingtao field station, Xisha Islands;	Tsingtao field station, Xisha Islands [code 312]
318;Quinns Rock;	Quinns Rock [code 318]
319;Perth Observatory, Perth-Lowell Telescope;	Perth Observatory, Perth-Lowell Telescope [code 319]
320;Chiro Observatory;	Chiro Observatory [code 320]
321;Craigie;	Craigie [code 321]
322;Perth Observatory, Bickley-MCT;	Perth Observatory, Bickley-MCT [code 322]
323;Perth Observatory, Bickley;	Perth Observatory, Bickley [code 323]
324;Peking Observatory, Shaho Station;	Peking Observatory, Shaho Station [code 324]
327;Peking Observatory, Xinglong Station;	Peking Observatory, Xinglong Station [code 327]
330;Purple Mountain Observatory, Nanking;	Purple Mountain Observatory, Nanking [code 330]
333;Desert Eagle Observatory;	Desert Eagle Observatory [code 333]
334;Tsingtao;	Tsingtao [code 334]
337;Sheshan, formerly Zo-Se;	Sheshan, formerly Zo-Se [code 337]
340;Toyonaka;	Toyonaka [code 340]
341;Akashina;	Akashina [code 341]
342;Shishikui;	Shishikui [code 342]
343;Younchun;	Younchun [code 343]
344;Bohyunsan Optical Astronomy Observatory;	Bohyunsan Optical Astronomy Observatory [code 344]
345;Sobaeksan Optical Astronomy Observatory;	Sobaeksan Optical Astronomy Observatory [code 345]
346;KNUE Astronomical Observatory;	KNUE Astronomical Observatory [code 346]
347;Utsunomiya-Imaizumi;	Utsunomiya-Imaizumi [code 347]
348;Ayabe;	Ayabe [code 348]
349;Ageo;	Ageo [code 349]
350;Kurohone;	Kurohone [code 350]
351;Sakamoto;	Sakamoto [code 351]
352;Konan;	Konan [code 352]
353;Nishi Kobe;	Nishi Kobe [code 353]
354;Kawachi;	Kawachi [code 354]
355;Hadano;	Hadano [code 355]
356;Kogota;	Kogota [code 356]
357;Shimotsuma;	Shimotsuma [code 357]
358;Nanyo;	Nanyo [code 358]
359;Wakayama;	Wakayama [code 359]
360;Kuma Kogen;	Kuma Kogen [code 360]
361;Sumoto;	Sumoto [code 361]
362;Ray Observatory;	Ray Observatory [code 362]
363;Yamada;	Yamada [code 363]
364;YCPM Kagoshima Station;	YCPM Kagoshima Station [code 364]
365;Uto Observatory;	Uto Observatory [code 365]
366;Miyasaka Observatory;	Miyasaka Observatory [code 366]
367;Yatsuka;	Yatsuka [code 367]
368;Ochiai;	Ochiai [code 368]
369;Chichibu;	Chichibu [code 369]
370;Kochi;	Kochi [code 370]
371;Tokyo-Okayama;	Tokyo-Okayama [code 371]
372;Geisei;	Geisei [code 372]
373;Oishi;	Oishi [code 373]
374;Minami-Oda Observatory;	Minami-Oda Observatory [code 374]
375;Uzurano;	Uzurano [code 375]
376;Uenohara;	Uenohara [code 376]
377;Kwasan Observatory, Kyoto;	Kwasan Observatory, Kyoto [code 377]
378;Murou;	Murou [code 378]
379;Hamamatsu-Yuto;	Hamamatsu-Yuto [code 379]
380;Ishiki;	Ishiki [code 380]
381;Tokyo-Kiso;	Tokyo-Kiso [code 381]
382;Tokyo-Norikura;	Tokyo-Norikura [code 382]
383;Chirorin;	Chirorin [code 383]
384;Shimada;	Shimada [code 384]
385;Nihondaira Observatory;	Nihondaira Observatory [code 385]
386;Yatsugatake-Kobuchizawa;	Yatsugatake-Kobuchizawa [code 386]
387;Tokyo-Dodaira;	Tokyo-Dodaira [code 387]
388;Tokyo-Mitaka;	Tokyo-Mitaka [code 388]
389;Tokyo (before 1938);	Tokyo (before 1938) [code 389]
390;Utsunomiya;	Utsunomiya [code 390]
391;Sendai Observatory, Ayashi Station;	Sendai Observatory, Ayashi Station [code 391]
392;JCPM Sapporo Station;	JCPM Sapporo Station [code 392]
393;JCPM Sakura Station;	JCPM Sakura Station [code 393]
394;JCPM Hamatonbetsu Station;	JCPM Hamatonbetsu Station [code 394]
395;Tokyo-Asahikawa;	Tokyo-Asahikawa [code 395]
396;Asahikawa;	Asahikawa [code 396]
397;Sapporo Science Center;	Sapporo Science Center [code 397]
398;Nagatoro;	Nagatoro [code 398]
399;Kushiro;	Kushiro [code 399]
400;Kitami;	Kitami [code 400]
401;Oosato;	Oosato [code 401]
402;Dynic Astronomical Observatory;	Dynic Astronomical Observatory [code 402]
403;Kani;	Kani [code 403]
404;Yamamoto;	Yamamoto [code 404]
405;Kamihoriguchi;	Kamihoriguchi [code 405]
406;Bibai;	Bibai [code 406]
407;Kahoku;	Kahoku [code 407]
408;Nyukasa;	Nyukasa [code 408]
409;Kiyose and Mizuho;	Kiyose and Mizuho [code 409]
410;Sengamine;	Sengamine [code 410]
411;Oizumi;	Oizumi [code 411]
412;Iwaki;	Iwaki [code 412]
413;Siding Spring Observatory;	Siding Spring Observatory [code 413]
414;Mount Stromlo;	Mount Stromlo [code 414]
415;Kambah;	Kambah [code 415]
416;Barton;	Barton [code 416]
417;Yanagida Astronomical Observatory;	Yanagida Astronomical Observatory [code 417]
418;Tamworth;	Tamworth [code 418]
419;Windsor;	Windsor [code 419]
420;Sydney;	Sydney [code 420]
421;Mt. Kajigamori, Otoyo;	Mt. Kajigamori, Otoyo [code 421]
422;Loomberah;	Loomberah [code 422]
423;North Ryde;	North Ryde [code 423]
424;Macquarie;	Macquarie [code 424]
425;Taylor Range Observatory, Brisbane;	Taylor Range Observatory, Brisbane [code 425]
426;Woomera;	Woomera [code 426]
427;Stockport;	Stockport [code 427]
428;Reedy Creek;	Reedy Creek [code 428]
429;Hawker;	Hawker [code 429]
430;Rainbow Observatory, near Coonabarabran;	Rainbow Observatory, near Coonabarabran [code 430]
431;Mt. Tarana Observatory, Bathurst;	Mt. Tarana Observatory, Bathurst [code 431]
432;Boambee;	Boambee [code 432]
433;Bagnall Beach Observatory;	Bagnall Beach Observatory [code 433]
434;S. Benedetto Po;	S. Benedetto Po [code 434]
435;G. Colombo Astronomical Observatory, Padua;	G. Colombo Astronomical Observatory, Padua [code 435]
436;Osservatorio di Livergnano;	Osservatorio di Livergnano [code 436]
437;Haverford;	Haverford [code 437]
438;Smith College Observatory, Northampton;	Smith College Observatory, Northampton [code 438]
439;ROTSE-III, Los Alamos;	ROTSE-III, Los Alamos [code 439]
440;Elginfield Observatory;	Elginfield Observatory [code 440]
441;Swilken Brae, St. Andrews;	Swilken Brae, St. Andrews [code 441]
442;Gualba Observatory;	Gualba Observatory [code 442]
443;Obs. Astronomico Plomer, Buenos Aires;	Obs. Astronomico Plomer, Buenos Aires [code 443]
444;Star Cruiser Observatory;	Star Cruiser Observatory [code 444]
445;Observatorio d&#39;Ontinyent;	Observatorio d&#39;Ontinyent [code 445]
446;Kingsnake Observatory, Seguin;	Kingsnake Observatory, Seguin [code 446]
447;Centennial Observatory;	Centennial Observatory [code 447]
448;Desert Moon Observatory, Las Cruces;	Desert Moon Observatory, Las Cruces [code 448]
449;Griffin Hunter Observatory, Bethune;	Griffin Hunter Observatory, Bethune [code 449]
450;Carla Jane Observatory, Charlotte;	Carla Jane Observatory, Charlotte [code 450]
451;West Skies Observatory, Mulvane;	West Skies Observatory, Mulvane [code 451]
452;Big Cypress Observatory, Fort Lauderdale;	Big Cypress Observatory, Fort Lauderdale [code 452]
453;Edwards Raven Observatory;	Edwards Raven Observatory [code 453]
454;Maryland Space Grant Consortium Observatory;	Maryland Space Grant Consortium Observatory [code 454]
455;CBA Concord;	CBA Concord [code 455]
456;Daventry Observatory;	Daventry Observatory [code 456]
457;Partizanske;	Partizanske [code 457]
458;Guadarrama Observatory;	Guadarrama Observatory [code 458]
459;Smith River Observatory, Danbury;	Smith River Observatory, Danbury [code 459]
460;Area 52 Observatory, Nashville;	Area 52 Observatory, Nashville [code 460]
461;University of Szeged, Piszkesteto Stn. (Konkoly);	University of Szeged, Piszkesteto Stn. (Konkoly) [code 461]
462;Mount Belleview Observatory;	Mount Belleview Observatory [code 462]
463;Sommers-Bausch Observatory, Boulder;	Sommers-Bausch Observatory, Boulder [code 463]
464;Toby Point Observatory, Narragansett;	Toby Point Observatory, Narragansett [code 464]
465;Takapuna;	Takapuna [code 465]
466;Mount Molehill Observatory, Auckland;	Mount Molehill Observatory, Auckland [code 466]
467;Auckland Observatory;	Auckland Observatory [code 467]
468;Astronomical Observatory, Campo Catino;	Astronomical Observatory, Campo Catino [code 468]
469;Courroux;	Courroux [code 469]
470;Ceccano;	Ceccano [code 470]
471;Houstrup;	Houstrup [code 471]
472;Merlette;	Merlette [code 472]
473;Remanzacco;	Remanzacco [code 473]
474;Mount John Observatory, Lake Tekapo;	Mount John Observatory, Lake Tekapo [code 474]
475;Turin (before 1913);	Turin (before 1913) [code 475]
476;Grange Observatory, Bussoleno;	Grange Observatory, Bussoleno [code 476]
477;Galleywood;	Galleywood [code 477]
478;Lamalou-les-Bains;	Lamalou-les-Bains [code 478]
479;Sollies-Pont;	Sollies-Pont [code 479]
480;Cockfield;	Cockfield [code 480]
481;Moorwarfen;	Moorwarfen [code 481]
482;St. Andrews;	St. Andrews [code 482]
483;Carter Observatory, Black Birch Station;	Carter Observatory, Black Birch Station [code 483]
484;Happy Valley, Wellington;	Happy Valley, Wellington [code 484]
485;Carter Observatory, Wellington;	Carter Observatory, Wellington [code 485]
486;Palmerston North;	Palmerston North [code 486]
487;Macnairston Observatory;	Macnairston Observatory [code 487]
488;Newcastle-upon-Tyne;	Newcastle-upon-Tyne [code 488]
489;Hemingford Abbots;	Hemingford Abbots [code 489]
490;Wimborne Minster;	Wimborne Minster [code 490]
491;Centro Astronomico de Yebes;	Centro Astronomico de Yebes [code 491]
492;Mickleover;	Mickleover [code 492]
493;Calar Alto;	Calar Alto [code 493]
494;Stakenbridge;	Stakenbridge [code 494]
495;Altrincham;	Altrincham [code 495]
496;Bishopstoke;	Bishopstoke [code 496]
497;Loudwater;	Loudwater [code 497]
498;Earls Barton;	Earls Barton [code 498]
499;Cheam;	Cheam [code 499]
500;Geocentric;	Geocentric [code 500]
501;Herstmonceux;	Herstmonceux [code 501]
502;Colchester;	Colchester [code 502]
503;Cambridge;	Cambridge [code 503]
504;Le Creusot;	Le Creusot [code 504]
505;Simon Stevin;	Simon Stevin [code 505]
506;Bendestorf;	Bendestorf [code 506]
507;Nyenheim;	Nyenheim [code 507]
508;Zeist;	Zeist [code 508]
509;La Seyne sur Mer;	La Seyne sur Mer [code 509]
510;Siegen;	Siegen [code 510]
511;Haute Provence;	Haute Provence [code 511]
512;Leiden (before 1860);	Leiden (before 1860) [code 512]
513;Lyons;	Lyons [code 513]
514;Mundenheim (1907-1913);	Mundenheim (1907-1913) [code 514]
515;Volkssternwarte Dhaun, near Kirn;	Volkssternwarte Dhaun, near Kirn [code 515]
516;Hamburg (before 1909);	Hamburg (before 1909) [code 516]
517;Geneva (from 1967);	Geneva (from 1967) [code 517]
518;Marine Observatory, Hamburg;	Marine Observatory, Hamburg [code 518]
519;Meschede;	Meschede [code 519]
520;Bonn;	Bonn [code 520]
521;Remeis Observatory, Bamberg;	Remeis Observatory, Bamberg [code 521]
522;Strasbourg;	Strasbourg [code 522]
